scenario,seed,planner,success,length,max_kappa,elapsed,collision_free,cv,cv_opt,feasible,n_obs,kappa_max,radius,nsampling,th_start,th_goal,start_x,start_y,goal_x,goal_y,xmin,xmax,ymin,ymax
prog00_seed1,1,rrt_star_dubins,True,3.6892164987282827,1.36986301369863,89.92438814700006,True,0.4437998449701698,,False,0,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog00_seed1,1,modified_dubins_rrt_star_ccpoa,True,3.2891245493210057,1.36986301369863,215.21353659600004,True,0.8042483978336026,,False,0,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog00_seed1,1,rrt_star_asv,True,3.265863083735149,1.3698630136988197,44.87318362999997,True,1.3055363205813184,,False,0,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog00_seed1,1,de2d_nurbs,True,3.28423374746236,1.569009730420047,22.26690548299996,True,0.0,0.6568367494924721,True,0,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog00_seed1,1,pso2d_nurbs,True,3.2804118752276246,1.571889808246422,28.186207663999994,True,0.0,0.1640178545666088,True,0,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog01_seed1,1,rrt_star,True,3.4595678743579255,,0.91033204200005,True,0.0588097936431316,,False,1,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog01_seed1,1,rrt_star_smooth,True,3.4595678743579255,,0.9012010239999881,True,0.0588097936431316,,False,1,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog01_seed1,1,rrt_star_dubins,True,8.587618187547589,1.36986301369863,73.10156022399997,True,41.15541750162243,,False,1,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog01_seed1,1,modified_dubins_rrt_star_ccpoa,True,7.081137172672408,1.36986301369863,201.68626073500002,False,45.2930743752177,,False,1,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog01_seed1,1,rrt_star_asv,True,3.4323156692489762,1.3698630137028638,50.469235038999955,True,0.8712621721137632,,False,1,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog01_seed1,1,de2d_nurbs,True,3.4193370140226254,1.5641156759577968,0.7241708569999901,True,0.0,0.6838755321498645,True,1,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog01_seed1,1,pso2d_nurbs,True,3.422208265661722,1.5943058869588826,4.796115339000039,True,4.813889529833174e-06,0.17126515460847583,False,1,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog02_seed1,1,rrt_star,True,3.5349862308987436,,1.026601901000049,True,2.2483240873564663,,False,2,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog02_seed1,1,rrt_star_smooth,True,3.5349862308987436,,0.9970462080000289,True,2.2483240873564663,,False,2,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog02_seed1,1,rrt_star_dubins,True,3.455817203533972,1.36986301369863,60.71945271200002,True,1.8039143120521204,,False,2,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog02_seed1,1,modified_dubins_rrt_star_ccpoa,True,10.708890596522364,1.36986301369863,204.20327029600003,False,24.662011002421295,,False,2,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog02_seed1,1,rrt_star_asv,True,3.437856481017799,1.3698630136991141,602.3503316069999,True,0.14127971044000862,,False,2,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog02_seed1,1,de2d_nurbs,True,3.44096006671254,1.551912093157539,2.1091579320000164,True,0.0,0.6881820133425081,True,2,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog02_seed1,1,pso2d_nurbs,True,3.420086448027922,1.5919795237549843,13.205819371000075,True,5.1937309295451595e-06,0.17117195248906447,False,2,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog03_seed1,1,rrt_star,True,3.5349862308987436,,2.3078999360000125,True,2.2483240873564663,,False,3,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog03_seed1,1,rrt_star_smooth,True,3.5349862308987436,,2.360705230999997,True,2.2483240873564663,,False,3,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
